accession_1	lysine_ct	accession_2	delta_mass	modification	
6800.39_Da_E1603 P21306_2full62_1G_P4_1T Deamidation; Phospho; Phospho	4	P21306_2full62_1G_P4_1T Deamidation; Phospho	79.99	79.99 Phospho
6867.4_Da_E1648 P41058_2full56_1G_P3_1T Deamidation; Methyl	4	P41058_2full56_1G_P3_1T Deamidation	14.01	14.01 Methyl
6949.48_Da_E466	4	6935.46_Da_E819	14.02	14.02
6965.4_Da_E1673 P41058_2full56_1G_P3_1T Deamidation; Methyl; Sulfate Adduct	4	6865.32_Da_E1175	100.08	100.08
6883.39_Da_E2064 P41058_2full56_1G_P8_1T Ox; Deamidation; Methyl	4	P41058_2full56_1G_P8_1T Ox; Deamidation	14.01	14.01 Methyl
6883.39_Da_E2064 P41058_2full56_1G_P8_1T Ox; Deamidation; Methyl	4	6867.4_Da_E1648 P41058_2full56_1G_P3_1T Deamidation; Methyl	16.00	16.00 Ox
6883.39_Da_E2064 P41058_2full56_1G_P8_1T Ox; Deamidation; Methyl	4	6851.39_Da_E490 P41058_2full56_1G_P4_1T Ox; Ammonia loss	31.99	31.99 Ox; Ox
6883.39_Da_E2064 P41058_2full56_1G_P8_1T Ox; Deamidation; Methyl	4	6785.4_Da_E473 P41057_2full56_1G_P1_1T Unmodified	97.99	97.99 Sulfate Adduct
6882.47_Da_E1708	4	6800.39_Da_E1603 P21306_2full62_1G_P4_1T Deamidation; Phospho; Phospho	82.07	82.07
6800.39_Da_E1603 P21306_2full62_1G_P4_1T Deamidation; Phospho; Phospho	4	6785.4_Da_E473 P41057_2full56_1G_P1_1T Unmodified	14.99	14.99 Deamidation; Methyl
6965.4_Da_E1899 P41058_2full56_1G_P3_1T Deamidation; Methyl; Sulfate Adduct	4	6867.4_Da_E1648 P41058_2full56_1G_P3_1T Deamidation; Methyl	97.99	97.99 Sulfate Adduct
6949.36_Da_E1004 P41058_2full56_1G_P5_1T Phospho; Deamidation; Ox	4	6865.32_Da_E1175	84.05	84.05
6851.39_Da_E490 P41058_2full56_1G_P4_1T Ox; Ammonia loss	4	P41058_2full56_1G_P4_1T Ox	-17.00	-17.00 Ammonia loss
6785.4_Da_E473 P41057_2full56_1G_P1_1T Unmodified	4	P41057_2full56_1G_P1_1T Unmodified	0.00	0.00
6882.47_Da_E1708	4	6785.4_Da_E473 P41057_2full56_1G_P1_1T Unmodified	97.07	97.07
6949.36_Da_E1004 P41058_2full56_1G_P5_1T Phospho; Deamidation; Ox	4	P41058_2full56_1G_P5_1T Phospho; Deamidation	15.99	15.99 Ox
6851.4_Da_E1744 P41058_2full56_1G_P4_1T Ox; Ammonia loss	4	P41058_2full56_1G_P4_1T Ox	-17.00	-17.00 Ammonia loss
6638.46_Da_E2139 P21306_2full62_1G_P1_1T Missed Monoisotopic (-1)	4	P21306_2full62_1G_P1_1T Unmodified	-1.00	-1.00 Missed Monoisotopic (-1)
6784.4_Da_E1883 P41057_2full56_1G_P8_1T Deamidation; Water loss; Ox	4	P41057_2full56_1G_P8_1T Deamidation; Water loss	16.02	16.02 Ox
7132.54_Da_E1745 P41057_2full56_1G_P5_1T Phospho; Deamidation; Hydrogen Dodecyl Sulfate	4	P41057_2full56_1G_P5_1T Phospho; Deamidation	266.19	266.19 Hydrogen Dodecyl Sulfate
17098.28_Da_E261 P0CX56_2full146_2G_P7_1T Acetyl; Methyl; Deamidation	11	P0CX56_2full146_2G_P7_1T Acetyl; Methyl	0.98	0.98 Deamidation
17180.34_Da_E203	11	17098.28_Da_E261 P0CX56_2full146_2G_P7_1T Acetyl; Methyl; Deamidation	82.07	82.07
17180.34_Da_E203	11	17165.34_Da_E471	14.99	14.99
17516.89_Da_E80 P14832_2full162_1G_P13_1T Acetyl; Ox	12	P14832_2full162_1G_P13_1T Acetyl; Ox	0.00	0.00
13706.44_Da_E143 P39990_2full126_1G_P1_1T Acetyl	8	P39990_2full126_1G_P1_1T Unmodified	42.00	42.00 Acetyl
13722.44_Da_E1700 P39990_2full126_1G_P4_1T Ox; Acetyl	8	13706.44_Da_E143 P39990_2full126_1G_P1_1T Acetyl	16.00	16.00 Ox
13706.44_Da_E143 P39990_2full126_1G_P1_1T Acetyl	8	13593.36_Da_E438 P39990_2full126_1G_P1_1T Acetyl; Missing Isoleucine (I)	113.09	113.09 Missing Isoleucine (I)
13706.44_Da_E143 P39990_2full126_1G_P1_1T Acetyl	8	13649.42_Da_E726	57.03	57.03
13722.44_Da_E1700 P39990_2full126_1G_P4_1T Ox; Acetyl	8	P39990_2full126_1G_P4_1T Ox	42.00	42.00 Acetyl
13722.44_Da_E1700 P39990_2full126_1G_P4_1T Ox; Acetyl	8	13593.36_Da_E438 P39990_2full126_1G_P1_1T Acetyl; Missing Isoleucine (I)	129.08	129.08
13915.59_Da_E1255	8	13649.42_Da_E726	266.15	266.15
13972.6_Da_E1085	8	13915.59_Da_E1255	57.03	57.03
14238.76_Da_E807	8	13972.6_Da_E1085	266.15	266.15
14504.91_Da_E799	8	13972.6_Da_E1085	532.31	532.31
14771.06_Da_E1041	8	13972.6_Da_E1085	798.46	798.46
14504.91_Da_E799	8	14238.76_Da_E807	266.15	266.15
14771.06_Da_E1041	8	14238.76_Da_E807	532.31	532.31
14771.06_Da_E1041	8	14504.91_Da_E799	266.15	266.15
20255.88_Da_E331 Q12402_2full180_1G_P3_1T Acetyl	11	Q12402_2full180_1G_P3_1T Acetyl	0.00	0.00
20287.89_Da_E1252 Q12402_2full180_1G_P5_1T Acetyl; Ox; Ox	11	20255.88_Da_E331 Q12402_2full180_1G_P3_1T Acetyl	31.99	31.99 Ox; Ox
20287.89_Da_E1252 Q12402_2full180_1G_P5_1T Acetyl; Ox; Ox	11	Q12402_2full180_1G_P5_1T Acetyl; Ox	15.99	15.99 Ox
6687.64_Da_E192 Q6Q547_2full58_1G_P1_1T Retained Met	7	Q6Q547_2full58_1G_P1_1T Unmodified	131.03	131.03 Retained Met
6785.72_Da_E1718 Q6Q547_2full58_1G_P1_1T Retained Met; Acetone Artifact	7	6687.64_Da_E192 Q6Q547_2full58_1G_P1_1T Retained Met	98.07	98.07 Acetone Artifact
6703.63_Da_E300 Q6Q547_2full58_1G_P2_1T Ox; Retained Met	7	6687.64_Da_E192 Q6Q547_2full58_1G_P1_1T Retained Met	16.00	16.00 Ox
6719.63_Da_E1026 Q6Q547_2full58_1G_P2_1T Ox; Retained Met; Ox	7	6687.64_Da_E192 Q6Q547_2full58_1G_P1_1T Retained Met	31.99	31.99 Ox; Ox
6687.64_Da_E1348 Q6Q547_2full58_1G_P1_1T Retained Met	7	Q6Q547_2full58_1G_P1_1T Unmodified	131.03	131.03 Retained Met
6785.72_Da_E1718 Q6Q547_2full58_1G_P1_1T Retained Met; Acetone Artifact	7	6703.63_Da_E300 Q6Q547_2full58_1G_P2_1T Ox; Retained Met	82.07	82.07
6703.63_Da_E300 Q6Q547_2full58_1G_P2_1T Ox; Retained Met	7	Q6Q547_2full58_1G_P2_1T Ox	131.03	131.03 Retained Met
6719.63_Da_E1026 Q6Q547_2full58_1G_P2_1T Ox; Retained Met; Ox	7	6703.63_Da_E300 Q6Q547_2full58_1G_P2_1T Ox; Retained Met	16.00	16.00 Ox
6719.63_Da_E1026 Q6Q547_2full58_1G_P2_1T Ox; Retained Met; Ox	7	Q6Q547_2full58_1G_P2_1T Ox	147.03	147.03 Retained Met; Ox
6703.64_Da_E1908 Q6Q547_2full58_1G_P2_1T Ox; Retained Met	7	6687.64_Da_E1348 Q6Q547_2full58_1G_P1_1T Retained Met	16.00	16.00 Ox
6703.64_Da_E1908 Q6Q547_2full58_1G_P2_1T Ox; Retained Met	7	Q6Q547_2full58_1G_P2_1T Ox	131.03	131.03 Retained Met
13237.13_Da_E2083	17	13221.12_Da_E1629	16.00	16.00
6984.02_Da_E218 Q3E764_2full64_1G_P1_1T Acetyl	17	Q3E764_2full64_1G_P1_1T Unmodified	42.00	42.00 Acetyl
7000.02_Da_E558 Q3E764_2full64_1G_P2_1T Ox; Acetyl	17	6984.02_Da_E218 Q3E764_2full64_1G_P1_1T Acetyl	16.00	16.00 Ox
7016.01_Da_E1354 Q3E764_2full64_1G_P3_1T Ox; Ox; Acetyl	17	6984.02_Da_E218 Q3E764_2full64_1G_P1_1T Acetyl	31.99	31.99 Ox; Ox
7000.02_Da_E558 Q3E764_2full64_1G_P2_1T Ox; Acetyl	17	Q3E764_2full64_1G_P2_1T Ox	42.00	42.00 Acetyl
7016.01_Da_E1354 Q3E764_2full64_1G_P3_1T Ox; Ox; Acetyl	17	7000.02_Da_E558 Q3E764_2full64_1G_P2_1T Ox; Acetyl	16.00	16.00 Ox
7016.01_Da_E1354 Q3E764_2full64_1G_P3_1T Ox; Ox; Acetyl	17	Q3E764_2full64_1G_P3_1T Ox; Ox	42.00	42.00 Acetyl
18736.74_Da_E133 P38879_2full174_1G_P5_1T Acetyl	16	P38879_2full174_1G_P5_1T Acetyl	0.00	0.00
21687.45_Da_E880	13	21671.46_Da_E99	16.00	16.00
6581.62_Da_E754	7	6510.58_Da_E299	71.03	71.03
6750.48_Da_E1852	7	6510.58_Da_E299	239.90	239.90
6608.54_Da_E1265	7	6510.58_Da_E299	97.97	97.97
15831.83_Da_E95	15	15773.8_Da_E770	58.04	58.04
9840.24_Da_E2070 Q3E7B2_2full85_1G_P2_1T Ox	10	Q3E7B2_2full85_1G_P2_1T Ox	0.00	0.00
9840.24_Da_E2070 Q3E7B2_2full85_1G_P2_1T Ox	10	9824.24_Da_E1736 Q3E7B2_2full85_1G_P1_1T Unmodified	16.00	16.00 Ox
9824.24_Da_E1736 Q3E7B2_2full85_1G_P1_1T Unmodified	10	Q3E7B2_2full85_1G_P1_1T Unmodified	0.00	0.00
15676.83_Da_E1311 P22804_2full142_1G_P1_1T Acetyl	7	P22804_2full142_1G_P1_1T Unmodified	42.00	42.00 Acetyl
19752.16_Da_E1682	11	19704.16_Da_E166	47.99	47.99
19752.16_Da_E1682	11	19720.17_Da_E531	31.99	31.99
16494.08_Da_E1193 P28000_2full142_1G_P2_1T Ox; Hydrogen Dodecyl Sulfate	11	P28000_2full142_1G_P2_1T Ox	266.16	266.16 Hydrogen Dodecyl Sulfate
20670.08_Da_E915 P49435_2full187_1G_P2_1T Ox; Acetyl	14	P49435_2full187_1G_P2_1T Ox	42.00	42.00 Acetyl
16991.46_Da_E136 P05756_2full151_1G_P1_1T Unmodified	13	P05756_2full151_1G_P1_1T Unmodified	0.00	0.00
17023.48_Da_E259 P05756_2full151_1G_P8_1T Ox; Ox	13	16991.46_Da_E136 P05756_2full151_1G_P1_1T Unmodified	32.02	32.02 Ox; Ox
17023.48_Da_E259 P05756_2full151_1G_P8_1T Ox; Ox	13	P05756_2full151_1G_P8_1T Ox; Ox	0.00	0.00
17023.48_Da_E259 P05756_2full151_1G_P8_1T Ox; Ox	13	17007.48_Da_E167 P05756_2full151_1G_P2_1T Ox	16.00	16.00 Ox
17007.48_Da_E167 P05756_2full151_1G_P2_1T Ox	13	P05756_2full151_1G_P2_1T Ox	0.00	0.00
14665.67_Da_E183 Q12165_23frag160_1G_P1_1T Unmodified	8	Q12165_23frag160_1G_P1_1T Unmodified	0.00	0.00
8330.52_Da_E397 P41806_2full77_1G_P1_1T Unmodified	4	P41806_2full77_1G_P1_1T Unmodified	0.00	0.00
8372.54_Da_E1135 P41806_2full77_1G_P1_1T Acetyl	4	P41806_2full77_1G_P1_1T Unmodified	42.00	42.00 Acetyl
8387.53_Da_E2011 P41806_2full77_1G_P1_1T Acetyl; Missed Monoisotopic (-1); Ox	4	8372.54_Da_E1135 P41806_2full77_1G_P1_1T Acetyl	14.99	14.99 Missed Monoisotopic (-1); Ox
8346.52_Da_E1269 P41806_2full77_1G_P2_1T Ox	4	P41806_2full77_1G_P2_1T Ox	0.00	0.00
15414.74_Da_E1565 P39989_22frag153_1G_P2_1T Ox; Hydrogen Dodecyl Sulfate	6	P39989_22frag153_1G_P2_1T Ox	266.16	266.16 Hydrogen Dodecyl Sulfate
11068.04_Da_E566	7	11052.04_Da_E137	16.00	16.00
11356.18_Da_E371	7	11052.04_Da_E137	304.14	304.14
11084.04_Da_E1185	7	11052.04_Da_E137	31.99	31.99
11149.11_Da_E988	7	11052.04_Da_E137	97.07	97.07
11372.18_Da_E930	7	11068.04_Da_E566	304.14	304.14
11165.1_Da_E1161	7	11068.04_Da_E566	97.07	97.07
11372.18_Da_E930	7	11356.18_Da_E371	16.00	16.00
11453.24_Da_E1471	7	11356.18_Da_E371	97.07	97.07
11165.1_Da_E1161	7	11149.11_Da_E988	16.00	16.00
11453.24_Da_E1471	7	11149.11_Da_E988	304.14	304.14
17319.57_Da_E254 P23301_2full157_1G_P74_1T Acetyl; Hypusine	13	P23301_2full157_1G_P74_1T Acetyl; Hypusine	0.00	0.00
17415.53_Da_E492 P23301_2full157_1G_P24_1T Phospho; Methyl; Retained Met	13	17319.57_Da_E254 P23301_2full157_1G_P74_1T Acetyl; Hypusine	95.96	95.96 Phospho; Ox
17415.53_Da_E492 P23301_2full157_1G_P24_1T Phospho; Methyl; Retained Met	13	P23301_2full157_1G_P24_1T Phospho; Methyl	131.03	131.03 Retained Met
18179.91_Da_E200 Q02753_2full160_1G_P1_1T Missing Isoleucine (I)	17	Q02753_2full160_1G_P1_1T Unmodified	-113.08	-113.08 Missing Isoleucine (I)
18195.91_Da_E1195 Q02753_2full160_1G_P2_1T Ox; Missing Isoleucine (I)	17	18179.91_Da_E200 Q02753_2full160_1G_P1_1T Missing Isoleucine (I)	16.00	16.00 Ox
18195.91_Da_E1195 Q02753_2full160_1G_P2_1T Ox; Missing Isoleucine (I)	17	Q02753_2full160_1G_P2_1T Ox	-113.08	-113.08 Missing Isoleucine (I)
18291.98_Da_E484 Q02753_2full160_1G_P2_1T Ox; Ammonia loss	17	Q02753_2full160_1G_P2_1T Ox	-17.00	-17.00 Ammonia loss
18291.98_Da_E484 Q02753_2full160_1G_P2_1T Ox; Ammonia loss	17	18276.99_Da_E1177 Q02753_2full160_1G_P2_1T Ox; Ammonia loss; Acetyl; Missing Glycine (G)	14.99	14.99 Acetyl; Missing Glycine (G)
16099.94_Da_E188 P06787_2full147_1G_P1_1T Acetyl	8	P06787_2full147_1G_P1_1T Unmodified	42.00	42.00 Acetyl
8805.65_Da_E2035	7	8789.66_Da_E1413	16.00	16.00
22178.7_Da_E795 P34760_2full196_1G_P18_1T Oxidation of W to Kynurenine; Deamidation; Acetone Artifact; Missing Lysine (K); Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	14	21646.41_Da_E1238 P34760_2full196_1G_P18_1T Oxidation of W to Kynurenine; Deamidation; Acetone Artifact; Missing Lysine (K)	532.31	532.31 Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate
21646.41_Da_E1238 P34760_2full196_1G_P18_1T Oxidation of W to Kynurenine; Deamidation; Acetone Artifact; Missing Lysine (K)	14	P34760_2full196_1G_P18_1T Oxidation of W to Kynurenine; Deamidation	-30.03	-30.03 Acetone Artifact; Missing Lysine (K)
6875.67_Da_E2114 P07255_2full59_1G_P1_1T Unmodified	6	P07255_2full59_1G_P1_1T Unmodified	0.00	0.00
13937.71_Da_E162 P38701_2full121_1G_P10_1T Acetyl; Ox	14	P38701_2full121_1G_P10_1T Acetyl; Ox	0.00	0.00
18726.71_Da_E328	11	18708.69_Da_E1490	18.01	18.01
13723.37_Da_E577	14	13625.31_Da_E329	98.07	98.07
13641.3_Da_E1881	14	13625.31_Da_E329	16.00	16.00
13936.18_Da_E224 P40037_2full129_1G_P1_1T Unmodified	7	P40037_2full129_1G_P1_1T Unmodified	0.00	0.00
13968.18_Da_E1509 P40037_2full129_1G_P7_1T Ox; Ox	7	13936.18_Da_E224 P40037_2full129_1G_P1_1T Unmodified	31.99	31.99 Ox; Ox
13968.18_Da_E1509 P40037_2full129_1G_P7_1T Ox; Ox	7	P40037_2full129_1G_P7_1T Ox; Ox	0.00	0.00
9128.18_Da_E1152 P05759_77frag152_1G_P7_1T Acetyl; Acetyl	18	P05759_77frag152_1G_P7_1T Acetyl	42.04	42.04 Acetyl
8495.42_Da_E1347 P37299_2full77_1G_P2_1T Ox; Ammonia loss	5	P37299_2full77_1G_P2_1T Ox	-17.00	-17.00 Ammonia loss
15687.21_Da_E903	11	15672.21_Da_E260	14.99	14.99
6648.75_Da_E1644	6	6549.69_Da_E2016	99.07	99.07
6747.83_Da_E1803	6	6648.75_Da_E1644	99.07	99.07
6860.91_Da_E1463	6	6747.83_Da_E1803	113.09	113.09
10621.72_Da_E1424	4	10492.65_Da_E1278	129.08	129.08
12360.61_Da_E816 P48606_2full106_1G_P1_1T Unmodified	15	P48606_2full106_1G_P1_1T Unmodified	0.00	0.00
16765.11_Da_E2081 P33421_51frag198_1G_P2_1T Ox; Deamidation	9	P33421_51frag198_1G_P2_1T Ox	0.98	0.98 Deamidation
20445.17_Da_E214 P0CX23_2full172_2G_P1_1T Unmodified	19	P0CX23_2full172_2G_P1_1T Unmodified	0.00	0.00
20461.16_Da_E382 P0CX23_2full172_2G_P2_1T Ox	19	20445.17_Da_E214 P0CX23_2full172_2G_P1_1T Unmodified	16.00	16.00 Ox
20493.15_Da_E483 P0CX23_2full172_2G_P6_1T Ox; Ox; Ox	19	20445.17_Da_E214 P0CX23_2full172_2G_P1_1T Unmodified	47.99	47.99 Ox; Ox; Ox
20461.16_Da_E382 P0CX23_2full172_2G_P2_1T Ox	19	P0CX23_2full172_2G_P2_1T Ox	0.00	0.00
20493.15_Da_E483 P0CX23_2full172_2G_P6_1T Ox; Ox; Ox	19	20461.16_Da_E382 P0CX23_2full172_2G_P2_1T Ox	31.99	31.99 Ox; Ox
20493.15_Da_E483 P0CX23_2full172_2G_P6_1T Ox; Ox; Ox	19	P0CX23_2full172_2G_P6_1T Ox; Ox; Ox	0.00	0.00
15935.4_Da_E281 Q08927_2full131_1G_P2_1T Ox; Methyl	10	Q08927_2full131_1G_P2_1T Ox	14.01	14.01 Methyl
13937.59_Da_E516	17	13921.6_Da_E168	16.00	16.00
9350.79_Da_E1209 Q06406_2full86_1G_P1_1T Acetyl	6	Q06406_2full86_1G_P1_1T Unmodified	42.00	42.00 Acetyl
22634.3_Da_E151	20	22577.28_Da_E660	57.03	57.03
10691.07_Da_E342 P10622_2full106_1G_P22_1T Acetyl; Phospho; Missed Monoisotopic (-1)	5	P10622_2full106_1G_P22_1T Acetyl; Phospho	-1.00	-1.00 Missed Monoisotopic (-1)
4868.97_Da_E1357	10	4712.87_Da_E2004	156.10	156.10
4712.87_Da_E2004	10	4556.77_Da_E2038	156.10	156.10
8681.96_Da_E2003	11	8582.88_Da_E1724	99.07	99.07
7915.37_Da_E2094	4	7898.37_Da_E1831	17.00	17.00
7898.37_Da_E1831	4	7871.36_Da_E1984	27.01	27.01
10368.44_Da_E196 Q96VH5_2full97_1G_P1_1T Acetyl	7	Q96VH5_2full97_1G_P1_1T Unmodified	42.00	42.00 Acetyl
10634.6_Da_E895 Q96VH5_2full97_1G_P1_1T Acetyl; Hydrogen Dodecyl Sulfate	7	10368.44_Da_E196 Q96VH5_2full97_1G_P1_1T Acetyl	266.15	266.15 Hydrogen Dodecyl Sulfate
10384.43_Da_E1015 Q96VH5_2full97_1G_P4_1T Ox; Acetyl	7	10368.44_Da_E196 Q96VH5_2full97_1G_P1_1T Acetyl	16.00	16.00 Ox
10900.75_Da_E1033 Q96VH5_2full97_1G_P1_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	7	10368.44_Da_E196 Q96VH5_2full97_1G_P1_1T Acetyl	532.31	532.31 Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate
10368.44_Da_E196 Q96VH5_2full97_1G_P1_1T Acetyl	7	10326.43_Da_E1049 Q96VH5_2full97_1G_P1_1T Unmodified	42.01	42.01 Acetyl
11166.9_Da_E1281 Q96VH5_2full97_1G_P1_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	7	10368.44_Da_E196 Q96VH5_2full97_1G_P1_1T Acetyl	798.46	798.46 Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate
10326.43_Da_E1049 Q96VH5_2full97_1G_P1_1T Unmodified	7	Q96VH5_2full97_1G_P1_1T Unmodified	0.00	0.00
10592.61_Da_E1526 Q96VH5_2full97_1G_P1_1T Hydrogen Dodecyl Sulfate	7	Q96VH5_2full97_1G_P1_1T Unmodified	266.19	266.19 Hydrogen Dodecyl Sulfate
10900.75_Da_E1033 Q96VH5_2full97_1G_P1_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	7	10634.6_Da_E895 Q96VH5_2full97_1G_P1_1T Acetyl; Hydrogen Dodecyl Sulfate	266.15	266.15 Hydrogen Dodecyl Sulfate
11166.9_Da_E1281 Q96VH5_2full97_1G_P1_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	7	10634.6_Da_E895 Q96VH5_2full97_1G_P1_1T Acetyl; Hydrogen Dodecyl Sulfate	532.31	532.31 Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate
10634.6_Da_E895 Q96VH5_2full97_1G_P1_1T Acetyl; Hydrogen Dodecyl Sulfate	7	10620.58_Da_E1604	14.02	14.02
10384.43_Da_E1015 Q96VH5_2full97_1G_P4_1T Ox; Acetyl	7	Q96VH5_2full97_1G_P4_1T Ox	42.00	42.00 Acetyl
11166.9_Da_E1281 Q96VH5_2full97_1G_P1_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	7	10900.75_Da_E1033 Q96VH5_2full97_1G_P1_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	266.15	266.15 Hydrogen Dodecyl Sulfate
21654.2_Da_E1093 P39704_26frag215_1G_P1_1T Unmodified	13	P39704_26frag215_1G_P1_1T Unmodified	-0.02	-0.02
14190.37_Da_E896	8	14091.31_Da_E380	99.07	99.07
15269.02_Da_E1160	11	15253.03_Da_E266	16.00	16.00
5182.88_Da_E1731	14	5166.88_Da_E1976	16.00	16.00
6501.75_Da_E275	12	6430.71_Da_E1562	71.03	71.03
6599.71_Da_E1722	12	6501.75_Da_E275	97.97	97.97
7309.29_Da_E337 P38374_2full65_1G_P1_1T Unmodified	10	P38374_2full65_1G_P1_1T Unmodified	0.00	0.00
7575.44_Da_E892 P38374_2full65_1G_P1_1T Hydrogen Dodecyl Sulfate	10	7309.29_Da_E337 P38374_2full65_1G_P1_1T Unmodified	266.15	266.15 Hydrogen Dodecyl Sulfate
7309.29_Da_E337 P38374_2full65_1G_P1_1T Unmodified	10	7238.25_Da_E998 P38374_2full65_1G_P1_1T Missing Alanine (A)	71.03	71.03 Missing Alanine (A)
7841.6_Da_E1159 P38374_2full65_1G_P1_1T Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	10	7309.29_Da_E337 P38374_2full65_1G_P1_1T Unmodified	532.31	532.31 Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate
7575.44_Da_E892 P38374_2full65_1G_P1_1T Hydrogen Dodecyl Sulfate	10	P38374_2full65_1G_P1_1T Unmodified	266.16	266.16 Hydrogen Dodecyl Sulfate
7238.25_Da_E998 P38374_2full65_1G_P1_1T Missing Alanine (A)	10	P38374_2full65_1G_P1_1T Unmodified	-71.04	-71.04 Missing Alanine (A)
7309.29_Da_E1760 P38374_2full65_1G_P1_1T Unmodified	10	P38374_2full65_1G_P1_1T Unmodified	0.00	0.00
7841.6_Da_E1159 P38374_2full65_1G_P1_1T Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	10	7575.44_Da_E892 P38374_2full65_1G_P1_1T Hydrogen Dodecyl Sulfate	266.15	266.15 Hydrogen Dodecyl Sulfate
7589.46_Da_E1601 P38374_2full65_1G_P1_1T Hydrogen Dodecyl Sulfate; Methyl	10	7575.44_Da_E892 P38374_2full65_1G_P1_1T Hydrogen Dodecyl Sulfate	14.02	14.02 Methyl
7238.25_Da_E998 P38374_2full65_1G_P1_1T Missing Alanine (A)	10	7139.18_Da_E1602 P38374_2full65_1G_P1_1T Missing Alanine (A); Missing Valine (V)	99.07	99.07 Missing Valine (V)
10784.83_Da_E370 P11632_2full93_1G_P1_1T Unmodified	15	P11632_2full93_1G_P1_1T Unmodified	0.00	0.00
10800.83_Da_E611 P11632_2full93_1G_P3_1T Ox	15	10784.83_Da_E370 P11632_2full93_1G_P1_1T Unmodified	16.00	16.00 Ox
10784.83_Da_E370 P11632_2full93_1G_P1_1T Unmodified	15	10713.79_Da_E505 P11632_2full93_1G_P1_1T Missing Alanine (A)	71.03	71.03 Missing Alanine (A)
10784.83_Da_E370 P11632_2full93_1G_P1_1T Unmodified	15	10600.71_Da_E445 P11632_2full93_1G_P1_1T Missing Alanine (A); Missing Leucine (L)	184.12	184.12 Missing Leucine (L); Missing Alanine (A)
10713.79_Da_E505 P11632_2full93_1G_P1_1T Missing Alanine (A)	15	P11632_2full93_1G_P1_1T Unmodified	-71.04	-71.04 Missing Alanine (A)
10800.83_Da_E611 P11632_2full93_1G_P3_1T Ox	15	P11632_2full93_1G_P3_1T Ox	0.00	0.00
10800.83_Da_E611 P11632_2full93_1G_P3_1T Ox	15	10729.79_Da_E710 P11632_2full93_1G_P3_1T Ox; Missing Alanine (A)	71.03	71.03 Missing Alanine (A)
10800.83_Da_E611 P11632_2full93_1G_P3_1T Ox	15	10713.79_Da_E505 P11632_2full93_1G_P1_1T Missing Alanine (A)	87.03	87.03
10729.79_Da_E710 P11632_2full93_1G_P3_1T Ox; Missing Alanine (A)	15	10713.79_Da_E505 P11632_2full93_1G_P1_1T Missing Alanine (A)	16.00	16.00 Ox
10713.79_Da_E505 P11632_2full93_1G_P1_1T Missing Alanine (A)	15	10600.71_Da_E445 P11632_2full93_1G_P1_1T Missing Alanine (A); Missing Leucine (L)	113.09	113.09 Missing Leucine (L)
10729.79_Da_E710 P11632_2full93_1G_P3_1T Ox; Missing Alanine (A)	15	10600.71_Da_E445 P11632_2full93_1G_P1_1T Missing Alanine (A); Missing Leucine (L)	129.08	129.08
10729.79_Da_E710 P11632_2full93_1G_P3_1T Ox; Missing Alanine (A)	15	P11632_2full93_1G_P3_1T Ox	-71.04	-71.04 Missing Alanine (A)
19733.59_Da_E1569	9	19635.52_Da_E347	98.07	98.07
19635.52_Da_E347	9	19578.49_Da_E1037	57.03	57.03
19635.52_Da_E347	9	19617.49_Da_E1658	18.01	18.01
19733.59_Da_E1569	9	19578.49_Da_E1037	155.09	155.09
9701.87_Da_E571	18	9461.97_Da_E1027	239.90	239.90
9781.84_Da_E866	18	9701.87_Da_E571	79.97	79.97
9541.93_Da_E1235	18	9461.97_Da_E1027	79.97	79.97
9781.84_Da_E866	18	9541.93_Da_E1235	239.90	239.90
14187.42_Da_E564	8	13921.27_Da_E332	266.15	266.15
13937.26_Da_E634	8	13921.27_Da_E332	16.00	16.00
14453.57_Da_E824	8	13921.27_Da_E332	532.31	532.31
13921.27_Da_E332	8	13808.19_Da_E745	113.09	113.09
13953.26_Da_E1553	8	13921.27_Da_E332	31.99	31.99
14203.41_Da_E962	8	13921.27_Da_E332	282.15	282.15
13961.29_Da_E1409	8	13921.27_Da_E332	40.03	40.03
14453.57_Da_E824	8	14187.42_Da_E564	266.15	266.15
14203.41_Da_E962	8	14187.42_Da_E564	16.00	16.00
14203.41_Da_E962	8	13937.26_Da_E634	266.15	266.15
13953.26_Da_E1553	8	13937.26_Da_E634	16.00	16.00
